course_title,url,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,rating,number_of_ratings,update_date,number_of_students,time_since_creation
Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,200,2147,23,51,All Levels,1.5,2017-01-18T20:58:58Z,Finance & Accounting,3.6,114.0,2/2017,2612.0,7
Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,75,2792,923,274,All Levels,39.0,2017-03-09T16:34:20Z,Finance & Accounting,3.7,1436.0,7/2017,4292.0,7
Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,45,2174,74,51,Intermediate Level,2.5,2016-12-19T19:26:30Z,Finance & Accounting,4.6,1636.0,5/2024,12820.0,8
Beginner to Pro - Excel Tutorial,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,95,2451,11,36,All Levels,3.0,2017-05-30T20:07:24Z,Finance & Accounting,4.0,551.0,8/2020,17498.0,7
How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,200,1276,45,26,Intermediate Level,2.0,2016-12-13T14:57:18Z,Finance & Accounting,4.7,200.0,11/2022,21164.0,8
Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,65,1540,178,26,Beginner Level,1.0,2016-02-21T18:23:12Z,Finance & Accounting,4.8,389.0,6/2019,2561.0,8
"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,95,2917,148,23,All Levels,2.5,2015-01-30T22:13:03Z,Finance & Accounting,4.4,396.0,6/2019,4822.0,9
The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,200,827,14,15,All Levels,1.0,2017-04-18T18:13:32Z,Finance & Accounting,4.1,56.0,4/2017,1104.0,7
Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,200,4284,93,76,All Levels,5.0,2015-09-11T16:47:02Z,Finance & Accounting,4.1,343.0,9/2015,12611.0,9
Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,30,3607,21,19,All Levels,1.5,2016-02-03T18:04:01Z,Finance & Accounting,3.6,72.0,2/2016,3792.0,8
Forex Trading Course: Work Smarter Not Harder,https://www.udemy.com/the-complete-trading-course/,195,4061,52,16,All Levels,2.0,2016-03-16T15:40:19Z,Finance & Accounting,4.0,1728.2865544013123,Unknown,18946.0,8
Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,75,2276,106,19,Intermediate Level,1.5,2015-06-22T21:18:35Z,Finance & Accounting,4.2,304.0,6/2019,3693.0,9
Technical Analysis: Chart Pattern Trading Mastery 2024,https://www.udemy.com/make-money-trading-stocks-from-home/,200,2666,115,52,All Levels,4.0,2015-08-10T21:07:35Z,Finance & Accounting,4.0,328.0,5/2024,3973.0,9
Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,200,2295,84,39,All Levels,4.0,2016-05-02T19:26:48Z,Finance & Accounting,4.5,153.0,7/2018,2574.0,8
Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,50,1916,38,23,Beginner Level,1.0,2016-12-05T22:14:17Z,Finance & Accounting,4.6,43.0,12/2016,2025.0,8
Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,150,5786,518,50,All Levels,5.0,2015-01-31T15:34:05Z,Business,4.4,13115.0,7/2021,52062.0,9
Investing 101: The Complete Online Investing Course 2024,https://www.udemy.com/online-investing-guide/,200,5334,373,42,All Levels,4.5,2014-11-28T17:49:03Z,Finance & Accounting,4.5,2277.0,5/2024,13751.0,10
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,175,4005,237,25,Intermediate Level,2.0,2015-04-12T20:13:47Z,Finance & Accounting,4.3,759.0,7/2022,8730.0,9
Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,140,1026,25,37,Beginner Level,3.0,2017-06-27T22:21:31Z,Finance & Accounting,4.7,2245.0,4/2024,8310.0,7
THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,200,1843,171,35,All Levels,1.5,2016-10-04T15:20:57Z,Finance & Accounting,3.3,280.0,3/2017,2373.0,8
Crypto Condensed: The Complete Guide To Bitcoin,https://www.udemy.com/bitcoin-for-beginners/,45,8797,449,80,All Levels,6.5,2015-01-09T03:55:15Z,Finance & Accounting,4.5,2984.0,2/2024,30960.0,9
Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,200,1030,11,22,All Levels,2.0,2017-06-01T05:22:08Z,Finance & Accounting,4.6,60.0,6/2017,1366.0,7
Beginners Manual on Ethereum Crypto-currency & its Trading,https://www.udemy.com/ethereum1/,200,1041,12,28,All Levels,1.5,2017-06-11T19:02:03Z,Finance & Accounting,5.0,112.0,5/2024,6165.0,7
Stock Option Day Trading with Chart Pattern Trading Tools,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,195,7884,118,68,Intermediate Level,10.0,2015-05-19T23:25:41Z,Finance & Accounting,3.3,398.0,1/2020,34920.0,9
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,195,16900,2476,52,Beginner Level,5.5,2014-12-12T23:58:39Z,Finance & Accounting,4.5,22285.0,3/2023,89380.0,10
"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,200,11441,1118,61,All Levels,4.5,2016-06-28T06:12:23Z,Finance & Accounting,4.5,32747.0,3/2024,206432.0,8
Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,195,22257,2697,138,All Levels,7.5,2014-11-25T23:00:40Z,Finance & Accounting,4.6,51958.0,3/2024,220037.0,10
The Complete Investment Banking Course 2024,https://www.udemy.com/the-complete-investment-banking-course-2016/,195,8575,809,110,All Levels,5.5,2016-10-10T16:16:26Z,Finance & Accounting,4.5,37069.0,1/2024,163990.0,8
The Complete Financial Analyst Course 2024,https://www.udemy.com/the-complete-financial-analyst-course/,195,24481,2347,174,All Levels,10.0,2016-01-21T01:38:48Z,Finance & Accounting,4.6,86317.0,2/2024,434707.0,8
Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,195,3811,278,103,All Levels,6.5,2017-03-30T22:17:09Z,Finance & Accounting,4.5,27227.0,2/2024,131835.0,7
Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,195,4991,137,79,Beginner Level,11.5,2017-03-29T22:36:05Z,Finance & Accounting,4.6,3401.0,4/2024,65400.0,7
Weekly Options Trading - Credit Spreads & Iron Condors,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,115,7489,1190,25,Intermediate Level,1.0,2015-10-22T21:54:28Z,Finance & Accounting,4.2,3216.0,11/2021,17463.0,9
Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,150,10042,594,43,All Levels,3.0,2015-10-22T00:03:48Z,Finance & Accounting,4.6,19006.0,10/2022,80690.0,9
Forex Robots: Automate Your Trading - Practice EA Included!,https://www.udemy.com/backtesting/,200,10603,872,42,All Levels,5.5,2014-10-12T21:19:11Z,Finance & Accounting,4.5,4482.0,3/2023,34778.0,10
Forex Trading | Technical Analysis + Swing Trading Strategy,https://www.udemy.com/three-steps-trading-live-trading-real-account/,190,1197,11,46,All Levels,5.0,2017-05-24T23:02:07Z,Finance & Accounting,4.1,752.0,4/2024,6271.0,7
Options Trading for Rookies: Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,150,2893,65,62,All Levels,2.0,2016-08-10T15:27:06Z,Finance & Accounting,4.7,7441.0,4/2024,34568.0,8
Lesson from the Greatest Traders of all Time,https://www.udemy.com/best-stock-traders/,200,1580,12,53,Expert Level,2.0,2017-05-02T21:20:54Z,Finance & Accounting,3.9,23.0,8/2019,1656.0,7
Introduction to Stock Market Trading and Investing,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,95,10605,71,77,All Levels,3.0,2014-10-24T18:13:49Z,Finance & Accounting,4.3,253.0,1/2024,14600.0,10
Trading Inside Bars - Master 1 Easy Pattern to be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,125,2996,200,23,Intermediate Level,2.0,2015-03-09T00:24:38Z,Finance & Accounting,4.5,529.0,5/2022,5035.0,9
Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,30,6219,23,20,All Levels,1.0,2017-02-14T04:42:58Z,Finance & Accounting,4.1,238.0,2/2017,35491.0,7
Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,200,1113,11,17,All Levels,1.5,2017-04-02T21:46:00Z,Finance & Accounting,3.7,56.0,4/2017,1410.0,7
Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,200,5572,123,33,Beginner Level,5.5,2014-03-27T17:58:37Z,Finance & Accounting,4.3,214.0,10/2015,6217.0,10
Swing Trading with Stocks and Options,https://www.udemy.com/winningstocktrades/,145,1433,169,15,Intermediate Level,1.0,2016-05-09T05:44:33Z,Finance & Accounting,3.9,407.0,11/2021,2927.0,8
Complete Short Black Scholes Options Trading Pricing Course,https://www.udemy.com/options-black-scholes-model/,200,658,2,19,All Levels,1.0,2017-06-02T18:12:45Z,Finance & Accounting,3.5,97.0,5/2024,11444.0,7
Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,105,8121,689,40,All Levels,3.5,2016-10-18T00:51:59Z,Finance & Accounting,4.6,14476.0,11/2016,47384.0,8
"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,60,4187,600,79,Beginner Level,9.0,2016-02-29T18:45:41Z,Finance & Accounting,4.5,4834.0,9/2021,23958.0,8
Invest in Stocks Like a Pro Investor by a Pro Investor!,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,200,3255,340,102,All Levels,8.5,2016-06-20T20:17:12Z,Finance & Accounting,4.8,2177.0,3/2024,24470.0,8
Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,185,7941,713,40,All Levels,6.5,2014-08-11T08:01:14Z,Finance & Accounting,4.4,3794.0,3/2023,25783.0,10
The Microsoft Excel Course: Advanced Excel Training,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,150,1680,158,76,All Levels,5.5,2016-11-26T04:09:14Z,Business,4.5,4007.0,5/2022,18928.0,8
Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,180,10100,985,45,Beginner Level,11.0,2013-02-25T11:36:06Z,Finance & Accounting,4.5,9069.0,12/2019,58769.0,11
How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,125,5050,461,26,All Levels,1.5,2015-02-10T04:21:40Z,Finance & Accounting,4.3,2245.0,11/2021,14712.0,9
How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,200,2310,162,26,All Levels,3.5,2016-10-05T17:42:52Z,Finance & Accounting,3.5,1151.0,11/2022,26946.0,8
"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,185,5528,506,32,All Levels,3.0,2015-02-19T11:31:27Z,Finance & Accounting,4.3,2333.0,3/2023,14935.0,9
Chart Patterns and Daytrading Stock Options Introduction,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,95,12394,218,30,Beginner Level,2.5,2015-02-20T21:39:41Z,Finance & Accounting,3.5,618.0,1/2020,32939.0,9
The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,200,1793,18,15,All Levels,1.0,2017-03-03T21:43:05Z,Finance & Accounting,4.1,89.0,3/2017,2298.0,7
Forex Trading - Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,20,3223,240,23,All Levels,1.0,2016-03-30T15:29:03Z,Finance & Accounting,4.5,381.0,9/2019,3894.0,8
Guide to Stock Trading with Candlestick & Technical Analysis,https://www.udemy.com/introduction-to-japanese-candlesticks/,60,16385,273,45,Beginner Level,3.0,2014-09-02T03:53:13Z,Finance & Accounting,4.0,3301.0,5/2024,51814.0,10
The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,200,1487,16,18,All Levels,2.0,2017-03-08T21:09:41Z,Finance & Accounting,4.2,62.0,3/2017,1868.0,7
