course_url,course_level,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price,total_length
https://www.edx.org/course/the-architectural-imagination,Beginner Level,415051.0,Architecture,HarvardX: The Architectural Imagination,4.7,51.0,565890,249.0,50.0
https://www.edx.org/course/the-path-to-happiness,Beginner Level,29623.0,Social Sciences,HarvardX: The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,4.7,30.0,130686,149.0,26.0
https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol,Beginner Level,127414.0,Art & Culture,HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,4.5066793893129775,21.236641221374047,178825,219.0,32.0
https://www.edx.org/course/us-public-policy-social-economic-and-foreign-polic,Beginner Level,46472.0,Social Sciences,"HarvardX: U.S. Public Policy: Social, Economic, and Foreign Policies",4.9,36.0,81922,149.0,16.0
https://www.edx.org/course/women-making-history-ten-objects-many-stories,Beginner Level,40788.0,History,"HarvardX: Women Making History: Ten Objects, Many Stories",5.0,5.0,68103,209.0,24.0
https://www.edx.org/course/buddhism-through-its-scriptures,Beginner Level,184691.0,Social Sciences,HarvardX: Buddhism Through Its Scriptures,4.8,12.0,212874,149.0,40.0
https://www.edx.org/course/masterpieces-of-world-literature,Beginner Level,91907.0,Literature,HarvardX: Masterpieces of World Literature,4.7,21.0,149988,299.0,84.0
https://www.edx.org/course/religion-conflict-and-peace,Beginner Level,76302.0,Social Sciences,"HarvardX: Religion, Conflict and Peace",4.8,42.0,122706,149.0,64.0
https://www.edx.org/course/hinduism-through-its-scriptures,Beginner Level,142438.0,Social Sciences,HarvardX: Hinduism Through Its Scriptures,4.6,10.0,161195,149.0,40.0
https://www.edx.org/course/american-government-constitutional-foundations,Beginner Level,37691.0,Social Sciences,HarvardX: American Government: Constitutional Foundations,4.7,23.0,63826,149.0,16.0
https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life,Beginner Level,79152.0,Social Sciences,"HarvardX: CitiesX: The Past, Present and Future of Urban Life",4.6,25.0,111950,249.0,77.0
https://www.edx.org/course/rhetoric-art-of-persuasive-writing-public-speaking,Beginner Level,336791.0,Social Sciences,HarvardX: Rhetoric: The Art of Persuasive Writing and Public Speaking,4.6,149.0,739846,209.0,24.0
https://www.edx.org/course/christianity-through-its-scriptures,Beginner Level,127023.0,Social Sciences,HarvardX: Christianity Through Its Scriptures,4.6,30.0,159868,149.0,40.0
https://www.edx.org/course/omens-oracles-prophecies,Beginner Level,94663.0,Social Sciences,"HarvardX: PredictionX: Omens, Oracles & Prophecies",4.8,30.0,171535,142.28481149012566,5.0
https://www.edx.org/course/shakespeares-life-and-work,Beginner Level,51046.0,Social Sciences,HarvardX: Shakespeare's Life and Work,4.7,25.0,85970,149.0,28.0
https://www.edx.org/course/religious-literacy-traditions-and-scriptures,Beginner Level,98874.0,Social Sciences,HarvardX: Religious Literacy: Traditions and Scriptures,4.9,16.0,117510,149.0,40.0
https://www.edx.org/course/citizen-politics-in-america-public-opinion-electio,Beginner Level,25444.0,Social Sciences,"HarvardX: Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",4.6,17.0,37300,149.0,16.0
https://www.edx.org/course/hollywood-history-industry-art,Beginner Level,51321.0,Business,"PennX: Hollywood: History, Industry, Art",4.5066793893129775,21.236641221374047,67191,169.0,16.0
https://www.edx.org/course/tangible-things-discovering-history-through-artwor,Beginner Level,63594.0,Social Sciences,"HarvardX: Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",4.8,40.0,98986,69.0,30.0
https://www.edx.org/course/us-political-institutions-congress-presidency-cour,Beginner Level,24395.0,Social Sciences,"HarvardX: U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",4.9,20.0,43481,149.0,16.0
https://www.edx.org/course/european-paintings-from-leonardo-to-rembrandt-to-g,Beginner Level,62403.0,Social Sciences,UC3Mx: European Paintings: From Leonardo to Rembrandt to Goya,4.8,21.0,89759,119.0,21.0
https://www.edx.org/course/islam-through-its-scriptures,Beginner Level,67278.0,Social Sciences,HarvardX: Islam Through Its Scriptures,5.0,10.0,92403,149.0,40.0
https://www.edx.org/course/predictionx-john-snow-and-the-cholera-epidemic-of,Beginner Level,19223.0,History,HarvardX: PredictionX: John Snow and the Cholera Epidemic of 1854,4.9,23.0,68953,142.28481149012566,6.128378378378378
https://www.edx.org/course/shakespeares-hamlet-the-ghost,Beginner Level,39259.0,Social Sciences,HarvardX: Shakespeare's Hamlet: The Ghost,4.5,6.0,53439,149.0,28.0
https://www.edx.org/course/judaism-through-its-scriptures,Beginner Level,51192.0,Social Sciences,HarvardX: Judaism Through Its Scriptures,4.5,12.0,60851,149.0,40.0
https://www.edx.org/course/japanese-books-from-manuscript-to-print,Beginner Level,18404.0,Art & Culture,HarvardX: Japanese Books: From Manuscript to Print,4.5066793893129775,21.236641221374047,28574,149.0,18.0
https://www.edx.org/course/predictionx-lost-without-longitude,Beginner Level,10689.0,History,HarvardX: PredictionX: Lost Without Longitude,4.5,16.0,47548,142.28481149012566,5.0
https://www.edx.org/course/sikhism-through-its-scriptures,Beginner Level,44620.0,Social Sciences,HarvardX: Sikhism Through Its Scriptures,5.0,5.0,52017,149.0,40.0
https://www.edx.org/course/gender-and-intersectionality,Beginner Level,5188.0,Social Sciences,UIcelandX: Gender and Intersectionality,4.7,23.0,13287,59.0,30.0
https://www.edx.org/course/shakespeares-othello-the-moor,Beginner Level,32430.0,Social Sciences,HarvardX: Shakespeare’s Othello: The Moor,5.0,10.0,40362,149.0,28.0
https://www.edx.org/course/18th-century-opera-handel-mozart,Beginner Level,18985.0,Music,HarvardX: 18th-Century Opera: Handel & Mozart,5.0,5.0,28156,209.0,20.0
https://www.edx.org/course/pintura-europea-leonardo-rembrandt-goya,Beginner Level,33346.0,Social Sciences,"UC3Mx: Pintura europea: Leonardo, Rembrandt, Goya",4.6,5.0,40100,39.0,21.0
https://www.edx.org/course/china-and-communism,Beginner Level,69811.0,History,HarvardX: China and Communism,4.5066793893129775,21.236641221374047,77063,149.0,45.0
https://www.edx.org/course/shakespeares-merchant-of-venice-shylock,Beginner Level,23690.0,Social Sciences,HarvardX: Shakespeare's The Merchant of Venice: Shylock,4.5066793893129775,21.236641221374047,30104,149.0,28.0
https://www.edx.org/course/contemporary-china-the-peoples-republic-taiwan-and,Beginner Level,67356.0,History,"HarvardX: Contemporary China: The People's Republic, Taiwan, and Hong Kong",4.4,7.0,75237,149.0,45.0
https://www.edx.org/course/chinas-political-and-intellectual-foundations-fr-2,Beginner Level,47716.0,History,HarvardX: China’s Political and Intellectual Foundations: From Sage Kings to Confucius,4.5066793893129775,21.236641221374047,56434,149.0,45.0
https://www.edx.org/course/the-rise-of-superheroes-and-their-impact-on-pop-cu,Beginner Level,31684.0,Social Sciences,SmithsonianX: The Rise of Superheroes and Their Impact On Pop Culture,4.5066793893129775,21.236641221374047,36219,59.0,12.0
https://www.edx.org/course/the-einstein-revolution,Beginner Level,25985.0,Social Sciences,HarvardX: The Einstein Revolution,4.4,8.0,42958,149.0,42.0
https://www.edx.org/course/the-threat-of-nuclear-terrorism,Beginner Level,51943.173363949485,History,StanfordOnline: The Threat of Nuclear Terrorism,4.8,21.0,9992,50.0,25.0
https://www.edx.org/course/terrorism-and-counterterrorism,Beginner Level,29122.0,Social Sciences,GeorgetownX: Terrorism and Counterterrorism,4.2,32.0,35959,59.0,70.0
https://www.edx.org/course/stravinskys-rite-of-spring-modernism-ballet-and-ri,Beginner Level,17873.0,Social Sciences,"HarvardX: First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",4.8,5.0,22933,149.0,15.0
https://www.edx.org/course/globalization-past-and-future,Beginner Level,10663.0,History,SDGAcademyX: Globalization: Past and Future,4.5066793893129775,21.236641221374047,16451,142.28481149012566,16.0
https://www.edx.org/course/indian-tibetan-river-of-buddhism,Intermediate Level,7079.0,Social Sciences,ColumbiaX: Indian & Tibetan River of Buddhism,4.8,5.0,14337,49.99,48.0
https://www.edx.org/course/19th-century-opera-meyerbeer-wagner-verdi,Beginner Level,9650.0,Music,"HarvardX: 19th-Century Opera: Meyerbeer, Wagner, & Verdi",4.5066793893129775,21.236641221374047,14713,209.0,30.0
https://www.edx.org/course/the-medieval-icelandic-sagas-2,Intermediate Level,11554.0,Social Sciences,UIcelandX: The Medieval Icelandic Sagas,4.8,8.0,16776,59.0,18.0
https://www.edx.org/course/chinas-first-empires-and-the-rise-of-buddhism,Beginner Level,46514.0,History,HarvardX: China’s First Empires and the Rise of Buddhism,4.5066793893129775,21.236641221374047,50738,149.0,45.0
https://www.edx.org/course/the-conquest-of-space-space-exploration-and-rocket,Beginner Level,20308.0,Development,UC3Mx: The Conquest of Space: Space Exploration and Rocket Science,4.5066793893129775,21.236641221374047,25765,159.0,28.0
https://www.edx.org/course/modern-chinas-foundations-the-manchus-and-the-qing,Beginner Level,47575.0,History,HarvardX: Modern China’s Foundations: The Manchus and the Qing,4.5066793893129775,21.236641221374047,51844,149.0,45.0
https://www.edx.org/course/historia-de-la-etica,Beginner Level,9681.0,Social Sciences,UC3Mx: Historia de la ética,4.5066793893129775,21.236641221374047,13515,39.0,18.0
https://www.edx.org/course/la-espana-del-quijote,Beginner Level,13531.0,History,UAMx: La España del Quijote,4.5066793893129775,21.236641221374047,16822,19.0,49.0
https://www.edx.org/course/aprende-griego-clasico-2,Beginner Level,51943.173363949485,Language,"UAMx: Introducción al griego clásico: verbos, oraciones y filosofía",4.5066793893129775,21.236641221374047,6923,29.0,25.0
https://www.edx.org/course/creating-modern-china-the-republican-period-to-the,Beginner Level,43350.0,History,HarvardX: Creating Modern China: The Republican Period to the Present,4.5066793893129775,21.236641221374047,46552,149.0,45.0
https://www.edx.org/course/introduccion-a-la-caligrafia-y-paleografia-en-arch,Beginner Level,12904.0,Social Sciences,UC3Mx: Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,4.5,12.0,16442,39.0,24.0
https://www.edx.org/course/chinese-history-from-warring-states-to-the-tang-dy,Beginner Level,12296.0,Literature,TsinghuaX: Chinese History From Warring States to the Tang Dynasty | 资治通鉴,4.5066793893129775,21.236641221374047,14407,179.0,54.0
https://www.edx.org/course/global-china-from-the-mongols-to-the-ming,Beginner Level,42150.0,History,HarvardX: Global China: From the Mongols to the Ming,4.5066793893129775,21.236641221374047,45588,149.0,45.0
https://www.edx.org/course/terrorism-and-counterterrorism-an-introduction,Beginner Level,14326.0,Social Sciences,GeorgetownX: Terrorism and Counterterrorism: An Introduction,4.4,5.0,16527,59.0,30.0
https://www.edx.org/course/cosmopolitan-tang-aristocratic-culture-in-china,Beginner Level,41383.0,History,HarvardX: Cosmopolitan Tang: Aristocratic Culture in China,4.5066793893129775,21.236641221374047,44129,149.0,45.0
https://www.edx.org/course/the-bible-in-light-of-the-ancient-near-east-2,Beginner Level,8330.0,Art & Culture,IsraelX: The Bible in Light of the Ancient Near East,4.5066793893129775,21.236641221374047,10597,129.0,36.0
https://www.edx.org/course/literati-china-examinations-neo-confucianism-and-l,Beginner Level,40612.0,History,"HarvardX: Literati China: Examinations, Neo-Confucianism, and Later Imperial China",4.5066793893129775,21.236641221374047,42622,149.0,45.0
https://www.edx.org/course/caligrafia-y-paleografia-espacios-historicos-para,Intermediate Level,5386.0,History,UC3Mx: Caligrafía y paleografía: espacios históricos para su estudio y práctica,4.5066793893129775,21.236641221374047,6692,39.0,42.0
https://www.edx.org/course/visualizing-postwar-tokyo-part-1,Beginner Level,16116.0,Social Sciences,"UTokyoX: Visualizing Postwar Tokyo, Part 1",4.5066793893129775,21.236641221374047,17297,59.0,36.0
https://www.edx.org/course/the-spain-of-don-quixote,Beginner Level,51943.173363949485,History,UAMx: The Spain of Don Quixote,4.5066793893129775,21.236641221374047,6913,29.0,35.0
https://www.edx.org/course/introduction-to-mao-zedong-thought,Beginner Level,8683.0,Social Sciences,TsinghuaX: Introduction to Mao Zedong Thought | 毛泽东思想概论,4.5066793893129775,21.236641221374047,10246,179.0,12.0
https://www.edx.org/course/policy-for-science-technology-and-innovation,Intermediate Level,51943.173363949485,Social Sciences,"MITx: Policy for Science, Technology and Innovation",4.5066793893129775,21.236641221374047,8699,169.0,40.0
https://www.edx.org/course/visualizing-postwar-tokyo-part-2,Beginner Level,8585.0,Social Sciences,"UTokyoX: Visualizing Postwar Tokyo, Part 2",4.5066793893129775,21.236641221374047,9028,59.0,36.0
https://www.edx.org/course/first-nights-beethovens-9th-symphony-and-the-19th,Beginner Level,38059.0,Social Sciences,HarvardX: First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,4.5066793893129775,21.236641221374047,47971,149.0,15.0
https://www.edx.org/course/noongar-language-and-culture,Beginner Level,11203.0,Language,CurtinX: Noongar Language and Culture,4.5066793893129775,21.236641221374047,18175,179.0,18.0
https://www.edx.org/course/first-nights-handels-messiah-and-baroque-oratorio,Beginner Level,51943.173363949485,Social Sciences,HarvardX: First Nights - Handel's Messiah and Baroque Oratorio,5.0,7.0,22399,149.0,15.0
